sample_accession,experiment_accession,read_count,fastq_ftp,sample_name,filename,description,dna_extracted,fermented,fermentation_day
SAMEA7032161,ERX4259876,417589,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/003/ERR4311233/ERR4311233.fastq.gz,11442.G72479,G72479_5x_rerun_10ul_BA8_01_19654.mzXML,dark chocolate w/ almond butter,TRUE,yes,none
SAMEA7032165,ERX4259880,23264,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/007/ERR4311237/ERR4311237.fastq.gz,11442.G73471,73471_1x_rerun_BA4_01_21391.mzXML,apple cider vinegar,TRUE,yes,none
SAMEA7032175,ERX4259890,1018490,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/007/ERR4311247/ERR4311247.fastq.gz,11442.G73503,73503_1x_BE5_01_20753.mzXML,blueberry kefir,TRUE,yes,none
SAMEA7032178,ERX4259893,198097,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/000/ERR4311250/ERR4311250.fastq.gz,11442.G73510,73510_1x_BE4_01_20752.mzXML,9 soy sauce,TRUE,yes,none
SAMEA7032181,ERX4259896,373630,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/003/ERR4311253/ERR4311253.fastq.gz,11442.G73515,73515_1x_rerun_BA5_01_21392.mzXML,love kombucha,TRUE,yes,none
SAMEA7032187,ERX4259902,743496,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/009/ERR4311259/ERR4311259.fastq.gz,11442.G73638,G73638_5x_10ul_BH9_01_19760.mzXML,"cheese, CMI workshop",TRUE,yes,none
SAMEA7032197,ERX4259912,1316444,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/009/ERR4311269/ERR4311269.fastq.gz,11442.G74059,74059_1x_BG2_01_20767.mzXML,silly dilly kraut brine,TRUE,yes,none
SAMEA7032198,ERX4259913,1037673,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/000/ERR4311270/ERR4311270.fastq.gz,11442.G74060,74060_1x_BH7_01_20781.mzXML,Maeil dairy drink,TRUE,yes,none
SAMEA7032204,ERX4259919,367636,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/006/ERR4311276/ERR4311276.fastq.gz,11442.G74092,74092_1x_12ul_rerun_BB2_01_21453.mzXML,Passion fruit kombucha,TRUE,yes,none
SAMEA7032215,ERX4259930,7977,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/007/ERR4311287/ERR4311287.fastq.gz,11442.G75219,75219_1x_20ul_BD8_01_21381.mzXML,Whiskey,TRUE,yes,none
