object_name,sample_name,obj. ref
GCF_001434985.1_ASM143498v1_genomic,GCF_001434985.1_ASM143498v1_genomic,218406/2/1
GCF_003946605.1_ASM394660v1_genomic,GCF_003946605.1_ASM394660v1_genomic,218406/3/1
GCF_001436135.1_ASM143613v1_genomic,GCF_001436135.1_ASM143613v1_genomic,218406/4/1
GCF_003946555.1_ASM394655v1_genomic,GCF_003946555.1_ASM394655v1_genomic,218406/5/1
GCF_900618535.1_TH39_genomic,GCF_900618535.1_TH39_genomic,218406/6/1
GCF_010306265.1_ASM1030626v1_genomic,GCF_010306265.1_ASM1030626v1_genomic,218406/7/1
GCF_011067265.1_ASM1106726v1_genomic,GCF_011067265.1_ASM1106726v1_genomic,218406/8/1
GCF_001437055.1_ASM143705v1_genomic,GCF_001437055.1_ASM143705v1_genomic,218406/9/1
GCF_023091965.1_ASM2309196v1_genomic,GCF_023091965.1_ASM2309196v1_genomic,218406/10/1
GCF_003573535.1_ASM357353v1_genomic,GCF_003573535.1_ASM357353v1_genomic,218406/11/1
GCF_006007945.1_ASM600794v1_genomic,GCF_006007945.1_ASM600794v1_genomic,218406/22/1
GCF_003946305.1_ASM394630v1_genomic,GCF_003946305.1_ASM394630v1_genomic,218406/23/1
GCA_003325435.1_Razy_CA_genomic,GCA_003325435.1_Razy_CA_genomic,218406/24/1
GCF_003946405.1_ASM394640v1_genomic,GCF_003946405.1_ASM394640v1_genomic,218406/25/1
GCF_001702115.1_ASM170211v1_genomic,GCF_001702115.1_ASM170211v1_genomic,218406/26/1
GCF_005405165.1_ASM540516v1_genomic,GCF_005405165.1_ASM540516v1_genomic,218406/27/1
GCF_000420365.1_ASM42036v1_genomic,GCF_000420365.1_ASM42036v1_genomic,218406/28/1
GCF_003946085.1_ASM394608v1_genomic,GCF_003946085.1_ASM394608v1_genomic,218406/29/1
GCF_001433825.1_ASM143382v1_genomic,GCF_001433825.1_ASM143382v1_genomic,218406/30/1
GCF_004745505.1_ASM474550v1_genomic,GCF_004745505.1_ASM474550v1_genomic,218406/32/1
GCF_002276885.1_ASM227688v1_genomic,GCF_002276885.1_ASM227688v1_genomic,218406/40/1
GCF_001437605.1_ASM143760v1_genomic,GCF_001437605.1_ASM143760v1_genomic,218406/43/1
GCF_011516835.1_ASM1151683v1_genomic,GCF_011516835.1_ASM1151683v1_genomic,218406/44/1
GCF_012396505.1_ASM1239650v1_genomic,GCF_012396505.1_ASM1239650v1_genomic,218406/45/1
GCF_001435235.1_ASM143523v1_genomic,GCF_001435235.1_ASM143523v1_genomic,218406/46/1
GCF_003946025.1_ASM394602v1_genomic,GCF_003946025.1_ASM394602v1_genomic,218406/47/1
GCF_003946725.1_ASM394672v1_genomic,GCF_003946725.1_ASM394672v1_genomic,218406/48/1
GCF_011611525.1_ASM1161152v1_genomic,GCF_011611525.1_ASM1161152v1_genomic,218406/49/1
GCF_006740305.1_ASM674030v1_genomic,GCF_006740305.1_ASM674030v1_genomic,218406/50/1
GCF_001047075.2_ASM104707v2_genomic,GCF_001047075.2_ASM104707v2_genomic,218406/51/1
GCF_009428965.1_ASM942896v1_genomic,GCF_009428965.1_ASM942896v1_genomic,218406/61/1
GCF_013127755.1_ASM1312775v1_genomic,GCF_013127755.1_ASM1312775v1_genomic,218406/63/1
GCF_009184845.1_ASM918484v1_genomic,GCF_009184845.1_ASM918484v1_genomic,218406/64/1
GCF_003946175.1_ASM394617v1_genomic,GCF_003946175.1_ASM394617v1_genomic,218406/65/1
GCF_001434655.1_ASM143465v1_genomic,GCF_001434655.1_ASM143465v1_genomic,218406/66/1
GCF_003946675.1_ASM394667v1_genomic,GCF_003946675.1_ASM394667v1_genomic,218406/67/1
GCF_025211165.1_ASM2521116v1_genomic,GCF_025211165.1_ASM2521116v1_genomic,218406/68/1
GCF_001434915.1_ASM143491v1_genomic,GCF_001434915.1_ASM143491v1_genomic,218406/69/1
GCF_003946695.1_ASM394669v1_genomic,GCF_003946695.1_ASM394669v1_genomic,218406/70/1
GCF_007992055.1_ASM799205v1_genomic,GCF_007992055.1_ASM799205v1_genomic,218406/71/1
GCF_003946215.1_ASM394621v1_genomic,GCF_003946215.1_ASM394621v1_genomic,218406/80/1
GCF_000498955.2_NMG01_genomic,GCF_000498955.2_NMG01_genomic,218406/83/1
GCF_001436675.1_ASM143667v1_genomic,GCF_001436675.1_ASM143667v1_genomic,218406/84/1
GCF_011516885.1_ASM1151688v1_genomic,GCF_011516885.1_ASM1151688v1_genomic,218406/85/1
GCF_003946645.1_ASM394664v1_genomic,GCF_003946645.1_ASM394664v1_genomic,218406/86/1
GCF_005405425.1_ASM540542v1_genomic,GCF_005405425.1_ASM540542v1_genomic,218406/87/1
GCF_007833675.1_ASM783367v1_genomic,GCF_007833675.1_ASM783367v1_genomic,218406/88/1
GCF_001434665.1_ASM143466v1_genomic,GCF_001434665.1_ASM143466v1_genomic,218406/89/1
GCF_003946145.1_ASM394614v1_genomic,GCF_003946145.1_ASM394614v1_genomic,218406/90/1
GCF_003946515.1_ASM394651v1_genomic,GCF_003946515.1_ASM394651v1_genomic,218406/91/1
GCF_900116935.1_Chromosome_genomic,GCF_900116935.1_Chromosome_genomic,218406/102/1
GCF_029025825.1_ASM2902582v1_genomic,GCF_029025825.1_ASM2902582v1_genomic,218406/103/1
GCF_001047115.2_ASM104711v2_genomic,GCF_001047115.2_ASM104711v2_genomic,218406/104/1
GCF_023061185.1_ASM2306118v1_genomic,GCF_023061185.1_ASM2306118v1_genomic,218406/105/1
GCF_003946395.1_ASM394639v1_genomic,GCF_003946395.1_ASM394639v1_genomic,218406/106/1
GCF_008033155.1_ASM803315v1_genomic,GCF_008033155.1_ASM803315v1_genomic,218406/107/1
GCF_003946345.1_ASM394634v1_genomic,GCF_003946345.1_ASM394634v1_genomic,218406/108/1
GCF_003946015.1_ASM394601v1_genomic,GCF_003946015.1_ASM394601v1_genomic,218406/109/1
GCF_005405125.1_ASM540512v1_genomic,GCF_005405125.1_ASM540512v1_genomic,218406/110/1
GCF_001434895.1_ASM143489v1_genomic,GCF_001434895.1_ASM143489v1_genomic,218406/111/1
GCF_004010095.1_ASM401009v1_genomic,GCF_004010095.1_ASM401009v1_genomic,218406/122/1
