ID,Species,"Culture collection number","Isolation source",Country,Continent,"Category 1","Category 2","Category 3"
12,"Acetobacter cerevisiae","DSM 14362, ATCC 23765, LMG 1625, NCIMB 8894, JCM 17273, CIP 107722, VTT E-042461","Beer###beer (ale) in storage",Canada,"North America",#Engineered,"#Food production",#Beverage
12,,,,,,#Engineered,"#Food production",#Fermented
12,,,,,,#Engineered,"#Food production",#Beverage
12,,,,,,#Engineered,"#Food production",#Fermented
12,,,,,,#Engineered,"#Food production",#Beverage
12,,,,,,#Engineered,"#Food production",#Fermented
10,"Acetobacter estunensis","DSM 4493, ATCC 23753, CCUG 18130, IAM 14359, LMG 1626, NCIMB 8935, JCM 21172, BCRC 12953, CCM 3613, IFO 13751, NBRC 13751","Apple juice or cider or associated equipment###cider making","United Kingdom",Europe,#Engineered,"#Food production",#Beverage
10,,,,,,#Engineered,#Industrial,
10,,,,,,#Engineered,"#Food production",#Fermented
10,,,,,,#Engineered,"#Food production",#Beverage
10,,,,,,#Engineered,#Industrial,
10,,,,,,#Engineered,"#Food production",#Fermented
23488,"Acetobacter indonesiensis","DSM 3805, NCIB 7215, ATCC 9432, CECT 474, LMG 1607, NCIMB 7125, NCIMB 8141, NCTC 7215, NRRL B-55, JCM 21170, IAM 14357, NCIMB 7215, NCIMB 8090",vinegar,,,#Condition,#Acidic,
23488,,,,,,#Engineered,"#Food production",#Food
23488,,,,,,#Engineered,"#Food production",#Fermented
23488,,,,,,#Condition,#Acidic,
23488,,,,,,#Engineered,"#Food production",#Food
23488,,,,,,#Engineered,"#Food production",#Fermented
23489,"Acetobacter lambici","DSM 27328, LMG 27439","fermenting lambic beer",Belgium,Europe,#Engineered,"#Food production",#Beverage
23489,,,,,,#Engineered,"#Food production",#Fermented
20,"Acetobacter nitrogenifigens","DSM 23921, LMG 23498, MTCC 6912, JCM 33644, BCC 33377, BCRC 80095, NBRC 105050, NRIC 0976, TBRC 15","Kombucha tea",India,Asia,#Engineered,"#Food production",#Beverage
20,,,,,,#Engineered,"#Food production",#Fermented
20,,,,,,#Engineered,"#Food production",#Beverage
20,,,,,,#Engineered,"#Food production",#Fermented
19,"Acetobacter oeni","DSM 23926, CECT 5830, LMG 21952, CIP 109171","Food, Red wine###spoiled red wine",Portugal,Europe,#Engineered,"#Food production",#Beverage
19,,,,,,#Environmental,"#Microbial community",
19,,,,,,#Engineered,"#Food production",#Fermented
19,,,,,,#Engineered,"#Food production",#Beverage
19,,,,,,#Environmental,"#Microbial community",
19,,,,,,#Engineered,"#Food production",#Fermented
132838,"Acetobacter oeni","DSM 17891, CECT 5830, LMG 21952",Wine,Portugal,Europe,"#Host Body-Site",#Plant,"#Fruit (Seed)"
132838,,,,,,#Host,#Plants,"#Shrub (Scrub)"
132838,,,,,,#Engineered,"#Food production",#Fermented
132838,,,,,,#Engineered,"#Food production",#Beverage
8,"Acetobacter orleanensis","DSM 4492, ATCC 12876, CCUG 18126, IMET 10752, LMD 31.3, LMG 1282, LMG 1583, NCIMB 8622, PDDCC 8809, KCTC 12329, JCM 7639, BCRC 11568, CCM 3610, ICMP 8809, IFO 13752, NBRC 13752, NCCB 31003, VTT E-042463","Belgian bottled beer###beer",Belgium,Europe,"#Host Body-Site",#Plant,"#Fruit (Seed)"
8,,,,,,#Host,#Plants,"#Herbaceous plants (Grass,Crops)"
8,,,,,,#Engineered,"#Food production",#Fermented
8,,,,,,#Engineered,"#Food production",#Beverage
8,,,,,,"#Host Body-Site",#Plant,"#Fruit (Seed)"
8,,,,,,#Host,#Plants,"#Herbaceous plants (Grass,Crops)"
8,,,,,,#Engineered,"#Food production",#Fermented
8,,,,,,#Engineered,"#Food production",#Beverage
8,,,,,,"#Host Body-Site",#Plant,"#Fruit (Seed)"
8,,,,,,#Host,#Plants,"#Herbaceous plants (Grass,Crops)"
8,,,,,,#Engineered,"#Food production",#Fermented
8,,,,,,#Engineered,"#Food production",#Beverage
4,"Acetobacter pasteurianus","DSM 3509, ATCC 33445, LMD 22.1, JCM 7640, BCRC 14145, CCM 2374, CCUG 18125, CGMCC 1.1810, CIP 103108, ICMP 8808, LMG 1262, NBRC 106471, NCCB 22001, NCIMB 12228, VTT E-97830, IMET 10733","Food, Beer###beer",,,"#Host Body-Site",#Plant,"#Fruit (Seed)"
4,,,,,,#Host,#Plants,"#Herbaceous plants (Grass,Crops)"
4,,,,,,#Engineered,"#Food production",#Fermented
4,,,,,,#Engineered,"#Food production",#Beverage
4,,,,,,"#Host Body-Site",#Plant,"#Fruit (Seed)"
4,,,,,,#Host,#Plants,"#Herbaceous plants (Grass,Crops)"
4,,,,,,#Engineered,"#Food production",#Fermented
4,,,,,,#Engineered,"#Food production",#Beverage
4,,,,,,"#Host Body-Site",#Plant,"#Fruit (Seed)"
4,,,,,,#Host,#Plants,"#Herbaceous plants (Grass,Crops)"
4,,,,,,#Engineered,"#Food production",#Fermented
4,,,,,,#Engineered,"#Food production",#Beverage
23459,"Acetobacter pasteurianus","DSM 25273",viegar,Italy,Europe,#Engineered,"#Food production",#Beverage
23459,,,,,,#Engineered,"#Food production",#Fermented
23459,,,,,,#Condition,#Acidic,
11,"Acetobacter pomorum","DSM 11825, LTH 2458, CIP 105762","Food, Apple vinegar###industrial cider vinegar fermentation",Germany,Europe,#Engineered,"#Food production",#Beverage
11,,,,,,#Engineered,#Industrial,
11,,,,,,#Engineered,"#Food production",#Fermented
11,,,,,,#Engineered,"#Food production",#Beverage
11,,,,,,#Engineered,#Industrial,
11,,,,,,#Engineered,"#Food production",#Fermented
11,,,,,,#Engineered,"#Food production",#Beverage
11,,,,,,#Engineered,#Industrial,
11,,,,,,#Engineered,"#Food production",#Fermented
158421,"Acidipropionibacterium virtanenii","DSM 106790, VTT E-113202","finnish malted barley###malted barley",Finland,Europe,#Engineered,"#Food production",#Fermented
158421,,,,,,#Engineered,"#Food production",#Beverage
158421,,,,,,#Engineered,#Treatment,
158421,,,,,,#Host,#Plants,"#Herbaceous plants (Grass,Crops)"
158421,,,,,,#Engineered,"#Food production",#Fermented
158421,,,,,,#Engineered,"#Food production",#Beverage
158421,,,,,,#Engineered,#Treatment,
158421,,,,,,#Host,#Plants,"#Herbaceous plants (Grass,Crops)"
6668,"Agrilactobacillus composti","DSM 18527, JCM 14202, NRIC 0689, CIP 109571","Environment, Compost of distilled shochu residue###Compost of distilled shochu residue###composting material of distilled shochu residue",Japan,Asia,#Engineered,"#Food production",#Beverage
6668,,,,,,#Engineered,"#Food production",#Fermented
6668,,,,,,#Engineered,#Biodegradation,#Composting
6668,,,,,,#Engineered,"#Food production",#Beverage
6668,,,,,,#Engineered,"#Food production",#Fermented
6668,,,,,,#Engineered,#Biodegradation,#Composting
6668,,,,,,#Engineered,"#Food production",#Beverage
6668,,,,,,#Engineered,"#Food production",#Fermented
6668,,,,,,#Engineered,#Biodegradation,#Composting
7281,"Agromyces atrinae","DSM 23870, JCM 15913, KCTC 19593","From Jeotgal, fermented shellfisg###traditional fermented seafood","Republic of Korea",Asia,#Engineered,"#Food production",#Fermented
7281,,,,,,#Engineered,"#Food production",#Seafood
7281,,,,,,#Engineered,"#Food production",#Fermented
7281,,,,,,#Engineered,"#Food production",#Seafood
7281,,,,,,#Engineered,"#Food production",#Fermented
7281,,,,,,#Engineered,"#Food production",#Seafood
442,"Alishewanella jeotgali","DSM 24035, JCM 15561, KCTC 22429, CGMCC 1.10666","From Flatfish Sik Hae###Gajami sikhae (jeotgal), a traditional Korean fermented seafood###gajami sikhae (jeotgal), a traditional fermented Korean food","Republic of Korea",Asia,#Engineered,"#Food production",#Fermented
442,,,,,,#Engineered,"#Food production",#Seafood
442,,,,,,#Engineered,"#Food production",#Fermented
442,,,,,,#Engineered,"#Food production",#Seafood
442,,,,,,#Engineered,"#Food production",#Fermented
442,,,,,,#Engineered,"#Food production",#Seafood
23741,"Amphibacillus indicireducens","DSM 27992, JCM 17250, NCIMB 14686","Polygonum indigo (<I>Polygonum tinctorium</I> Lour.) fermentation liquor from Date City###Polygonum Indigo (<i>Polygonum tinctorium</i> Lour.) fermentation liquor",Japan,Asia,#Engineered,"#Food production",#Beverage
23741,,,,,,#Host,#Plants,"#Herbaceous plants (Grass,Crops)"
23741,,,,,,#Engineered,"#Food production",#Fermented
23741,,,,,,#Engineered,"#Food production",#Beverage
23741,,,,,,#Host,#Plants,"#Herbaceous plants (Grass,Crops)"
23741,,,,,,#Engineered,"#Food production",#Fermented
6572,"Apilactobacillus kunkeei","CCUG 53901, CIP 107675, DSM 12361, ATCC 700308, JCM 16173, LMG 18925","Commercial Cabernet Sauvignon wine###Partially fermented grape juice###commercial grape wine undergoing a sluggish/stuck alcoholic fermentation","United States of America###USA","North America",#Engineered,"#Food production",#Beverage
6572,,,,,,"#Host Body-Site",#Plant,"#Fruit (Seed)"
6572,,,,,,#Engineered,"#Food production",#Fermented
6572,,,,,,#Engineered,"#Food production",#Beverage
6572,,,,,,"#Host Body-Site",#Plant,"#Fruit (Seed)"
6572,,,,,,#Engineered,"#Food production",#Fermented
6572,,,,,,#Engineered,"#Food production",#Beverage
6572,,,,,,"#Host Body-Site",#Plant,"#Fruit (Seed)"
6572,,,,,,#Engineered,"#Food production",#Fermented
6572,,,,,,#Engineered,"#Food production",#Beverage
6572,,,,,,"#Host Body-Site",#Plant,"#Fruit (Seed)"
6572,,,,,,#Engineered,"#Food production",#Fermented
158610,"Heyndrickxia camelliae","CGMCC 1.15374, KCTC 33845","From pu'er tea###a ripened Pu'er tea sample obtained from a manufacturer",China,Asia,#Engineered,"#Food production",#Beverage
158610,,,,,,#Host,#Plants,"#Shrub (Scrub)"
158610,,,,,,"#Host Body-Site",#Plant,"#Leaf (Phyllosphere)"
158610,,,,,,#Engineered,"#Food production",#Fermented
158610,,,,,,#Engineered,"#Food production",#Beverage
158610,,,,,,#Host,#Plants,"#Shrub (Scrub)"
158610,,,,,,"#Host Body-Site",#Plant,"#Leaf (Phyllosphere)"
158610,,,,,,#Engineered,"#Food production",#Fermented
966,"Bacillus subtilis","DSM 1971, ATCC 21394","soil or fermented soybean",,,#Engineered,"#Food production",#Fermented
966,,,,,,#Host,#Plants,"#Herbaceous plants (Grass,Crops)"
966,,,,,,#Environmental,#Terrestrial,#Soil
966,,,,,,#Engineered,"#Food production","#Vegetable (incl. Grains)"
1747,"Bifidobacterium mongoliense","DSM 21395, JCM 15461, YIT 10443, KCTC 5848","Airag, a traditional fermented mare's milk product from Mongolia###airag, the Mongolian traditional beverage made of fermented mare's milk",Mongolia,Asia,#Engineered,"#Food production",#Beverage
1747,,,,,,#Engineered,"#Food production",#Fermented
1747,,,,,,#Engineered,"#Food production","#Dairy product"
1747,,,,,,#Engineered,"#Food production",#Beverage
1747,,,,,,#Engineered,"#Food production",#Fermented
1747,,,,,,#Engineered,"#Food production","#Dairy product"
3908,"Brachybacterium rhamnosum","DSM 10240, ATCC 51844, IFO 15203, NBRC 15203, JCM 11650, CIP 104398, IAM 14584, KCTC 9917, LMG 19848, NCIMB 13338, VKM Ac-1976","corn steep liquor",Japan,Asia,#Host,#Plants,"#Herbaceous plants (Grass,Crops)"
3908,,,,,,#Engineered,"#Food production",#Fermented
3908,,,,,,#Engineered,"#Food production",#Beverage
3908,,,,,,#Host,#Plants,"#Herbaceous plants (Grass,Crops)"
3908,,,,,,#Engineered,"#Food production",#Fermented
3908,,,,,,#Engineered,"#Food production",#Beverage
3908,,,,,,#Host,#Plants,"#Herbaceous plants (Grass,Crops)"
3908,,,,,,#Engineered,"#Food production",#Fermented
3908,,,,,,#Engineered,"#Food production",#Beverage
130226,"Brevibacterium jeotgali","DSM 29217, JCM 18571, KACC 16911","<i>seau-jeot</i> (shrimp jeotgal), a traditional fermented seafood","Republic of Korea",Asia,#Engineered,"#Food production",#Fermented
130226,,,,,,#Engineered,"#Food production",#Seafood
130226,,,,,,#Engineered,"#Food production",#Fermented
130226,,,,,,#Engineered,"#Food production",#Seafood
139883,"Caldibacillus debilis","DSM 15680","corn steep liquor",USA,"North America",#Host,#Plants,"#Herbaceous plants (Grass,Crops)"
139883,,,,,,#Engineered,"#Food production",#Fermented
139883,,,,,,#Engineered,"#Food production",#Beverage
2271,"Carnobacterium jeotgali","DSM 23388, JCM 15539, KCTC 13251","From Korean traditional fermented food###Korean traditional fermented food (jeotgal)###traditional Korean fermented food ""toha jeotgal""","Republic of Korea",Asia,#Engineered,"#Food production",#Fermented
2271,,,,,,#Engineered,"#Food production",#Seafood
2271,,,,,,#Engineered,"#Food production",#Fermented
2271,,,,,,#Engineered,"#Food production",#Seafood
2271,,,,,,#Engineered,"#Food production",#Fermented
2271,,,,,,#Engineered,"#Food production",#Seafood
5698,"Chryseobacterium gambrini","DSM 18014, CCUG 52549, CIP 110172","steel surface of a beer-bottling plant",Germany,Europe,#Engineered,"#Food production",#Beverage
5698,,,,,,#Engineered,#Industrial,"#Plant (Factory)"
5698,,,,,,#Engineered,#Industrial,"#Engineered product"
5698,,,,,,#Engineered,"#Food production",#Fermented
5698,,,,,,#Engineered,"#Food production","#Bottled, canned, packed food"
5698,,,,,,#Engineered,"#Food production",#Beverage
5698,,,,,,#Engineered,#Industrial,"#Plant (Factory)"
