study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	library_name	library_strategy	read_count	experiment_title	fastq_ftp	submitted_ftp	sra_ftp	sample_alias	sample_title	bam_ftp
PRJEB39163	SAMEA7032104	ERX4259819	ERR4311176	256318	metagenome	11442.BLANK18.6A	AMPLICON	5645	Illumina HiSeq 4000 sequencing: qiita_ptid_7604:11442.BLANK18.6A	ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/006/ERR4311176/ERR4311176.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR431/ERR4311176/11442.BLANK18.6A.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR431/006/ERR4311176	qiita_sid_11442:11442.BLANK18.6A	11442.BLANK18.6A	
PRJEB39163	SAMEA7032110	ERX4259825	ERR4311182	256318	metagenome	11442.BLANK18.6G	AMPLICON	61	Illumina HiSeq 4000 sequencing: qiita_ptid_7604:11442.BLANK18.6G	ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/002/ERR4311182/ERR4311182.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR431/ERR4311182/11442.BLANK18.6G.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR431/002/ERR4311182	qiita_sid_11442:11442.BLANK18.6G	11442.BLANK18.6G	
PRJEB39163	SAMEA7032111	ERX4259826	ERR4311183	256318	metagenome	11442.BLANK18.6H	AMPLICON	2036	Illumina HiSeq 4000 sequencing: qiita_ptid_7604:11442.BLANK18.6H	ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/003/ERR4311183/ERR4311183.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR431/ERR4311183/11442.BLANK18.6H.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR431/003/ERR4311183	qiita_sid_11442:11442.BLANK18.6H	11442.BLANK18.6H	
PRJEB39163	SAMEA7032113	ERX4259828	ERR4311185	256318	metagenome	11442.BLANK19.7B	AMPLICON	14	Illumina HiSeq 4000 sequencing: qiita_ptid_7604:11442.BLANK19.7B	ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/005/ERR4311185/ERR4311185.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR431/ERR4311185/11442.BLANK19.7B.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR431/005/ERR4311185	qiita_sid_11442:11442.BLANK19.7B	11442.BLANK19.7B	
PRJEB39163	SAMEA7032115	ERX4259830	ERR4311187	256318	metagenome	11442.BLANK19.7D	AMPLICON	31	Illumina HiSeq 4000 sequencing: qiita_ptid_7604:11442.BLANK19.7D	ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/007/ERR4311187/ERR4311187.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR431/ERR4311187/11442.BLANK19.7D.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR431/007/ERR4311187	qiita_sid_11442:11442.BLANK19.7D	11442.BLANK19.7D	
PRJEB39163	SAMEA7032119	ERX4259834	ERR4311191	256318	metagenome	11442.BLANK19.7H	AMPLICON	531	Illumina HiSeq 4000 sequencing: qiita_ptid_7604:11442.BLANK19.7H	ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/001/ERR4311191/ERR4311191.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR431/ERR4311191/11442.BLANK19.7H.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR431/001/ERR4311191	qiita_sid_11442:11442.BLANK19.7H	11442.BLANK19.7H	
PRJEB39163	SAMEA7032128	ERX4259843	ERR4311200	256318	metagenome	11442.BLANK21.9A	AMPLICON	37754	Illumina HiSeq 4000 sequencing: qiita_ptid_7604:11442.BLANK21.9A	ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/000/ERR4311200/ERR4311200.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR431/ERR4311200/11442.BLANK21.9A.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR431/000/ERR4311200	qiita_sid_11442:11442.BLANK21.9A	11442.BLANK21.9A	
PRJEB39163	SAMEA7032130	ERX4259845	ERR4311202	256318	metagenome	11442.BLANK21.9C	AMPLICON	43	Illumina HiSeq 4000 sequencing: qiita_ptid_7604:11442.BLANK21.9C	ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/002/ERR4311202/ERR4311202.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR431/ERR4311202/11442.BLANK21.9C.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR431/002/ERR4311202	qiita_sid_11442:11442.BLANK21.9C	11442.BLANK21.9C	
PRJEB39163	SAMEA7032131	ERX4259846	ERR4311203	256318	metagenome	11442.BLANK21.9D	AMPLICON	4	Illumina HiSeq 4000 sequencing: qiita_ptid_7604:11442.BLANK21.9D	ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/003/ERR4311203/ERR4311203.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR431/ERR4311203/11442.BLANK21.9D.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR431/003/ERR4311203	qiita_sid_11442:11442.BLANK21.9D	11442.BLANK21.9D	
PRJEB39163	SAMEA7032136	ERX4259851	ERR4311208	256318	metagenome	11442.BLANK22.10A	AMPLICON	13461	Illumina HiSeq 4000 sequencing: qiita_ptid_7604:11442.BLANK22.10A	ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/008/ERR4311208/ERR4311208.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR431/ERR4311208/11442.BLANK22.10A.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR431/008/ERR4311208	qiita_sid_11442:11442.BLANK22.10A	11442.BLANK22.10A	
