genbank_id	isolate	isolation_source	broad_category	genbank_accession	completeness	contamination	ncbi_species_name
GCA_001580535	Acetobacter cerevisiae	Beer###beer (ale) in storage	#Beverage	GCA_001580535.1	95.57	4.04	Acetobacter cerevisiae
GCA_011516945	Acetobacter estunensis	Apple juice or cider or associated equipment###cider making	#Beverage	GCA_011516945.1	95.33	1.56	Acetobacter estunensis
GCA_011516925	Acetobacter fabarum	cocoa bean heap fermentation	#Fruit (Seed)	GCA_011516925.1	94.13	4.04	Acetobacter fabarum
GCA_011516865	Acetobacter ghanensis	traditional heap fermentation of Ghanaian cocoa beans	#Fruit (Seed)	GCA_011516865.1	94.13	2.43	Acetobacter ghanensis
GCA_011516885	Acetobacter lambici	fermenting lambic beer	#Beverage	GCA_011516885.1	94.51	5.43	Acetobacter lambici
GCA_000429165	Acetobacter nitrogenifigens	Kombucha tea	#Beverage	GCA_000429165.1	98.91	0.09	Acetobacter nitrogenifigens
GCA_000964205	Acetobacter orleanensis	Belgian bottled beer###beer	#Fruit (Seed)	GCA_000964205.1	95.55	3.06	Acetobacter orleanensis
GCA_000285275	Acetobacter pasteurianus	Food, Beer###beer	#Fruit (Seed)	GCA_000285275.1	86.85	4.97	Acetobacter pasteurianus
GCA_000310065	Acidipropionibacterium acidipropionici	Food, Cheese, Emmenthal###Emmenthaler cheese###emmental cheese	#Dairy product	GCA_000310065.1	96.23	0.46	Acidipropionibacterium acidipropionici
GCA_000425285	Acidipropionibacterium jensenii	Food, Buttermilk###buttermilk	#Dairy product	GCA_000425285.1	95.75	0.17	Acidipropionibacterium jensenii
GCA_000423445	Acidipropionibacterium thoenii	Food, Cheese, Emmenthal###Emmenthaler cheese###emmental cheese	#Dairy product	GCA_000423445.1	98.44	0.09	Acidipropionibacterium thoenii
GCA_003325455	Acidipropionibacterium virtanenii	finnish malted barley###malted barley	#Fermented	GCA_003325455.1	98.3	0	Acidipropionibacterium virtanenii
GCA_003850045	Aeromicrobium camelliae	Ripened Pu'er tea	#Beverage	GCA_003850045.1	96.95	1.53	Aeromicrobium camelliae
GCA_013408555	Aeromicrobium tamlense	Dried seaweed from Samyang beach###dried seaweed	NA	GCA_013408555.1	96.18	0.65	Aeromicrobium tamlense
GCA_000583695	Agrilactobacillus composti	Environment, Compost of distilled shochu residue###Compost of distilled shochu residue###composting material of distilled shochu residue	#Beverage	GCA_000583695.1	78.7	4.14	Agrilactobacillus composti
