mag_id	completeness	contamination	contigs	total_length	gc	n50	sample_accession	run_accession	country	project_accession	study_accession	database_origin	reference	rep_95id	rep_99id	taxonomy	species	food_name	sample_name	origin	ingredient_group	main_ingredient	food_type	consistency	alcohol_level	acid_type	fermentation_temperature	aging_time
LeechJ_xxxx__AF38__bin.7	89.46007696	4.707856858	386	1779064	37.32	5614	SAMN39472457	SRR27593211	Nigeria	PRJNA1052643	SRP484221	NCBI	Carlino N, Blanco-Míguez A, Punčochář M, Mengoni C, Pinto F, Tatti A, Manghi P, Armanini F, Avagliano M, Barcenilla C, Breselge S, Cabrera-Rubio R, Calvete-Torre I, Coakley M, Cobo-Díaz JF, De Filippis F, Dey H, Leech J, Klaassens ES, Knobloch S, O'Neil D, Quijada NM, Sabater C, Skírnisdóttir S, Valentino V, Walsh L; MASTER EU Consortium; Alvarez-Ordóñez A, Asnicar F, Fackelmann G, Heidrich V, Margolles A, Marteinsson VT, Rota Stabelli O, Wagner M, Ercolini D, Cotter PD, Segata N, Pasolli E. Unexplored microbial diversity from 2,500 food metagenomes and links with the human microbiome. Cell. 2024 Oct 3;187(20):5775-5795.e15. doi: 10.1016/j.cell.2024.07.039.	MortensenS_xxxx__WK031-1-L-48h-03B2_S30__bin.1	LeechJ_xxxx__AF38__bin.7	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Leuconostoc	Leuconostoc suionicum	agadagidi	agadagidi	Plant	Fruit	plantain	beverage	liquid	low	lactic	mesophilic	1-7 days
LeechJ_xxxx__AF72__bin.2	70.11297387	4.749657064	497	2489447	45.04	5934	SAMN39472491	SRR27593169	Nigeria	PRJNA1052643	SRP484221	NCBI	Carlino N, Blanco-Míguez A, Punčochář M, Mengoni C, Pinto F, Tatti A, Manghi P, Armanini F, Avagliano M, Barcenilla C, Breselge S, Cabrera-Rubio R, Calvete-Torre I, Coakley M, Cobo-Díaz JF, De Filippis F, Dey H, Leech J, Klaassens ES, Knobloch S, O'Neil D, Quijada NM, Sabater C, Skírnisdóttir S, Valentino V, Walsh L; MASTER EU Consortium; Alvarez-Ordóñez A, Asnicar F, Fackelmann G, Heidrich V, Margolles A, Marteinsson VT, Rota Stabelli O, Wagner M, Ercolini D, Cotter PD, Segata N, Pasolli E. Unexplored microbial diversity from 2,500 food metagenomes and links with the human microbiome. Cell. 2024 Oct 3;187(20):5775-5795.e15. doi: 10.1016/j.cell.2024.07.039.	FalardeauJ_2023__SRR20811279__bin.3	LeechJ_xxxx__AF72__bin.2	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactiplantibacillus	Lactiplantibacillus plantarum	agadagidi	agadagidi	Plant	Fruit	plantain	beverage	liquid	low	lactic	mesophilic	1-7 days
LeechJ_xxxx__AF72__bin.3	95.59336824	1.413612565	125	1250033	45.58	15988	SAMN39472491	SRR27593169	Nigeria	PRJNA1052643	SRP484221	NCBI	Carlino N, Blanco-Míguez A, Punčochář M, Mengoni C, Pinto F, Tatti A, Manghi P, Armanini F, Avagliano M, Barcenilla C, Breselge S, Cabrera-Rubio R, Calvete-Torre I, Coakley M, Cobo-Díaz JF, De Filippis F, Dey H, Leech J, Klaassens ES, Knobloch S, O'Neil D, Quijada NM, Sabater C, Skírnisdóttir S, Valentino V, Walsh L; MASTER EU Consortium; Alvarez-Ordóñez A, Asnicar F, Fackelmann G, Heidrich V, Margolles A, Marteinsson VT, Rota Stabelli O, Wagner M, Ercolini D, Cotter PD, Segata N, Pasolli E. Unexplored microbial diversity from 2,500 food metagenomes and links with the human microbiome. Cell. 2024 Oct 3;187(20):5775-5795.e15. doi: 10.1016/j.cell.2024.07.039.	LeechJ_xxxx__AF72__bin.3	LeechJ_xxxx__AF72__bin.3	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Fructobacillus	NA	agadagidi	agadagidi	Plant	Fruit	plantain	beverage	liquid	low	lactic	mesophilic	1-7 days
LeechJ_2020__ERS3967719__bin.1	69.01776385	0	292	1945198	34.99	9188	ERS3967719	ERR4757834	Russia	PRJEB35321	ERP118359	NCBI	Leech, J., Cabrera-Rubio, R., Walsh, A.M., Macori, G., Walsh, C.J., Barton, W., Finnegan, L., Crispie, F., O’Sullivan, O., Claesson, M.J., et al. (2020). Fermented-Food Metagenomics Reveals Substrate-Associated Differences in Taxonomy and Health-Associated and Antibiotic Resistance Determinants. mSystems 5. 10.1128/mSystems.00522-20.	MAG_501	LeechJ_2020__ERS3967719__bin.1	Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus	Lactococcus lactis	agousha	agousha	Animal	Dairy	milk	beverage	liquid	none	lactic	mesophilic	1-2 days
ODFM-BA-A-0110-001_Corynebacterium_nuruki_S6-4	99.1	0.45	68	3106595	69.49	92693	ODFM-BA-A-0110-001	ODFM-BA-A-0110-001	NA	NA	NA	ODFM	Whon TW, Ahn SW, Yang S, Kim JY, Kim YB, Kim Y, Hong JM, Jung H, Choi YE, Lee SH, Roh SW. ODFM, an omics data resource from microorganisms associated with fermented foods. Sci Data. 2021 Apr 20;8(1):113. doi: 10.1038/s41597-021-00895-x.	ODFM-BA-A-0110-001_Corynebacterium_nuruki_S6-4	ODFM-BA-A-0110-001_Corynebacterium_nuruki_S6-4	Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Corynebacterium	Corynebacterium nuruki	fermentation starter	alcohol_fermentation_starter	Plant	Grain	rice	starter culture	semi-solid	low	none	none	5-7 days
EBC_031.14	56.19	0	88	4343687	53.28	89000	SAMN40633065	SRS20892295	USA	PRJNA1092721	NA	NCBI	MiFoDB, a workflow for microbial food metagenomic characterization, enables high-resolution analysis of fermented food microbial dynamics Elisa B. Caffrey, Matthew R. Olm, Caroline Isabel Kothe, Joshua Evans, Justin L. Sonnenburg bioRxiv 2024.03.29.587370; doi: https://doi.org/10.1101/2024.03.29.587370	EBC_031.14	EBC_031.14	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter_A	Citrobacter A amalonaticus	sauerkraut	alimentari_aurora_red_kraut_brine	Plant	Vegetables_Aromatics	cabbage	pickled vegetables	solid	none	lactic	mesophilic	2-6 weeks
EBC_030.11	56.9	0	50	2090976	52.02	66283	SAMN40633064	SRS20892296	USA	PRJNA1092721	NA	NCBI	MiFoDB, a workflow for microbial food metagenomic characterization, enables high-resolution analysis of fermented food microbial dynamics Elisa B. Caffrey, Matthew R. Olm, Caroline Isabel Kothe, Joshua Evans, Justin L. Sonnenburg bioRxiv 2024.03.29.587370; doi: https://doi.org/10.1101/2024.03.29.587370	LeechJ_2020__ERS3967711__bin.13	EBC_030.11	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Rahnella	Rahnella variigena	sauerkraut	alimentari_aurora_red_kraut_solid	Plant	Vegetables_Aromatics	cabbage	pickled vegetables	solid	none	lactic	mesophilic	2-6 weeks
Imad_A-2.bin.9	89.43	2.18	491	2692551	42.27	7319	SAMN29828073	SRR20308680	Lebanon	PRJNA860091	SRP387050	NCBI	Ammoun I, Kothe CI, Mohellibi N, Beal C, Yaacoub R, Renault P. Lebanese fermented goat milk products: From tradition to meta-omics. Food Res Int. 2023 Jun;168:112762. doi: 10.1016/j.foodres.2023.112762.	MASTER_WP4_FFoQSI_2__VB11-26__bin.7	Imad_A-2.bin.9	Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter	Acinetobacter johnsonii	ambriss	ambriss	Animal	Dairy	milk goat	cheese	semi-solid	none	lactic	mesophilic	20 days
GCF_003403295.1_ASM340329v1_genomic	100	0	196	3477184	62.73	49803	GCF_003403295.1	GCF_003403295.1	NA	Refseq	Refseq	NCBI	MiFoDB, a workflow for microbial food metagenomic characterization, enables high-resolution analysis of fermented food microbial dynamics Elisa B. Caffrey, Matthew R. Olm, Caroline Isabel Kothe, Joshua Evans, Justin L. Sonnenburg bioRxiv 2024.03.29.587370; doi: https://doi.org/10.1101/2024.03.29.587370	GCF_003403295.1_ASM340329v1_genomic	GCF_003403295.1_ASM340329v1_genomic	Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Komagataeibacter	Komagataeibacter melaceti	vinegar apple cider	apple_cider_vinegar	Plant	Fruit	apple	vinegar	liquid	low	acetic	mesophilic	3-4 weeks
GCF_013155425.1_ASM1315542v1_genomic	100	1	143	3738899	62.57	60583	GCF_013155425.1	GCF_013155425.1	NA	Refseq	Refseq	NCBI	MiFoDB, a workflow for microbial food metagenomic characterization, enables high-resolution analysis of fermented food microbial dynamics Elisa B. Caffrey, Matthew R. Olm, Caroline Isabel Kothe, Joshua Evans, Justin L. Sonnenburg bioRxiv 2024.03.29.587370; doi: https://doi.org/10.1101/2024.03.29.587370	ArikanM_2020__ERS1939593__bin.5	GCF_013155425.1_ASM1315542v1_genomic	Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Novacetimonas	Novacetimonas entanii	vinegar apple cider	apple_cider_vinegar	Plant	Fruit	apple	vinegar	liquid	low	acetic	mesophilic	3-4 weeks
