assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCA_000709935.2	PRJNA252001	SAMN02848465	JNVC00000000.2	na	reference genome	assembly from synonym type material	246786	246786	Metabacillus indicus	strain=DSM 16189	na	latest	Contig	Major	Full	2014-07-22	ASM70993v2		GCF_000709935.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/709/935/GCA_000709935.2_ASM70993v2	./genbank/bacteria/GCA_000709935.2/GCA_000709935.2_ASM70993v2_genomic.fna.gz
GCA_000224785.2	PRJNA71453	SAMN02470213	AGAV00000000.1	na	reference genome	assembly from type material	558169	558169	Lentibacillus jeotgali	strain=Grbi	na	latest	Contig	Major	Full	2011-08-31	ASM22478v2		GCF_000224785.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/224/785/GCA_000224785.2_ASM22478v2	./genbank/bacteria/GCA_000224785.2/GCA_000224785.2_ASM22478v2_genomic.fna.gz
GCA_002218025.2	PRJDB5783	SAMD00080446	na	na	na	assembly from type material	673372	673372	Vibrio casei	strain=DSM 22364	na	latest	Complete Genome	Major	Full	2018-06-06	ASM221802v2		GCF_002218025.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/218/025/GCA_002218025.2_ASM221802v2	./genbank/bacteria/GCA_002218025.2/GCA_002218025.2_ASM221802v2_genomic.fna.gz
GCA_000179395.2	PRJNA50001	SAMN02603088	na	na	na	na	858619	1727	Corynebacterium variabile DSM 44702	strain=DSM 44702	na	latest	Complete Genome	Major	Full	2011-07-19	ASM17939v2		GCF_000179395.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/179/395/GCA_000179395.2_ASM17939v2	./genbank/bacteria/GCA_000179395.2/GCA_000179395.2_ASM17939v2_genomic.fna.gz
GCA_000193495.2	PRJDA52649	SAMD00036545	na	na	na	assembly from type material	887700	435	Acetobacter aceti NBRC 14818	strain=NBRC 14818	na	latest	Complete Genome	Major	Full	2020-09-02	ASM19349v2		GCF_000193495.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/193/495/GCA_000193495.2_ASM19349v2	./genbank/bacteria/GCA_000193495.2/GCA_000193495.2_ASM19349v2_genomic.fna.gz
GCA_000165675.2	PRJNA53965	SAMN02470184	AEIZ00000000.1	na	na	assembly from type material	907931	1251	Leuconostoc fallax KCTC 3537	strain=KCTC 3537	na	latest	Contig	Major	Full	2010-10-26	ASM16567v1		GCF_000165675.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/165/675/GCA_000165675.2_ASM16567v1	./genbank/bacteria/GCA_000165675.2/GCA_000165675.2_ASM16567v1_genomic.fna.gz
GCA_000183325.2	PRJNA60239	SAMN02469392	AENJ00000000.1	na	na	assembly from type material	927655	36808	Corynebacterium bovis DSM 20582 = CIP 54.80	strain=DSM 20582	na	latest	Contig	Major	Full	2010-11-26	ASM18332v1		GCF_000183325.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/183/325/GCA_000183325.2_ASM18332v1	./genbank/bacteria/GCA_000183325.2/GCA_000183325.2_ASM18332v1_genomic.fna.gz
GCA_000166735.2	PRJNA60231	SAMN02472184	AEMJ00000000.1	na	na	assembly from type material	927694	178001	Leuconostoc inhae KCTC 3774	strain=KCTC 3774	na	latest	Contig	Major	Full	2010-11-17	ASM16673v1		GCF_000166735.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/166/735/GCA_000166735.2_ASM16673v1	./genbank/bacteria/GCA_000166735.2/GCA_000166735.2_ASM16673v1_genomic.fna.gz
GCA_000225825.2	PRJNA71501	SAMN02470219	AGBX00000000.1	na	reference genome	assembly from type material	1074488	661979	Brachybacterium squillarum M-6-3	strain=M-6-3	na	latest	Contig	Major	Full	2011-09-12	ASM22582v2		GCF_000225825.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/225/825/GCA_000225825.2_ASM22582v2	./genbank/bacteria/GCA_000225825.2/GCA_000225825.2_ASM22582v2_genomic.fna.gz
GCA_000226215.2	PRJNA72173	SAMN02470218	AGFF00000000.1	na	reference genome	assembly from type material	1077144	665550	Dietzia alimentaria 72	strain=72	na	latest	Contig	Major	Full	2011-09-20	ASM22621v2		GCF_000226215.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/226/215/GCA_000226215.2_ASM22621v2	./genbank/bacteria/GCA_000226215.2/GCA_000226215.2_ASM22621v2_genomic.fna.gz
GCA_000245735.2	PRJNA80431	SAMN02470203	AHTH00000000.1	na	reference genome	assembly from type material	1129374	545533	Alishewanella jeotgali KCTC 22429	strain=KCTC 22429	na	latest	Contig	Major	Full	2012-02-03	ASM24573v2		GCF_000245735.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/245/735/GCA_000245735.2_ASM24573v2	./genbank/bacteria/GCA_000245735.2/GCA_000245735.2_ASM24573v2_genomic.fna.gz
GCA_000255495.2	PRJNA81013	SAMN02471380	AHYZ00000000.1	na	na	assembly from type material	1133569	238015	Liquorilactobacillus vini DSM 20605	strain=DSM 20605	na	latest	Contig	Major	Full	2012-03-20	ASM25549v2		GCF_000255495.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/255/495/GCA_000255495.2_ASM25549v2	./genbank/bacteria/GCA_000255495.2/GCA_000255495.2_ASM25549v2_genomic.fna.gz
GCA_000785105.2	PRJNA266911	SAMN03175170	na	na	reference genome	assembly from type material	1138822	1138822	Lentilactobacillus curieae	strain=CCTCC M 2011381	na	latest	Complete Genome	Major	Full	2017-03-03	ASM78510v2		GCF_000785105.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/785/105/GCA_000785105.2_ASM78510v2	./genbank/bacteria/GCA_000785105.2/GCA_000785105.2_ASM78510v2_genomic.fna.gz
GCA_000299295.2	PRJNA171727	SAMN02469590	AMPQ00000000.1	na	na	assembly from type material	1230341	1230341	Salimicrobium jeotgali	strain=MJ3	na	latest	Contig	Minor	Full	2012-09-26	ASM29929v2		GCF_000299295.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/299/295/GCA_000299295.2_ASM29929v2	./genbank/bacteria/GCA_000299295.2/GCA_000299295.2_ASM29929v2_genomic.fna.gz
GCA_000498955.2	PRJNA222257	SAMN02369445	AYGX00000000.2	na	reference genome	assembly from type material	1413187	483011	Lactiplantibacillus fabifermentans DSM 21115	strain=DSM 21115	na	latest	Scaffold	Major	Full	2015-11-06	NMG01		GCF_000498955.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/498/955/GCA_000498955.2_NMG01	./genbank/bacteria/GCA_000498955.2/GCA_000498955.2_NMG01_genomic.fna.gz
GCA_004102045.2	PRJNA472867	SAMN09245911	na	na	reference genome	assembly from type material	2203724	2203724	Oenococcus sicerae	strain=UCMA 15228	na	latest	Complete Genome	Major	Full	2020-02-07	ASM410204v2		GCF_004102045.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/102/045/GCA_004102045.2_ASM410204v2	./genbank/bacteria/GCA_004102045.2/GCA_004102045.2_ASM410204v2_genomic.fna.gz
GCA_009377195.2	PRJNA553653	SAMN12241900	VJXX00000000.1	na	reference genome	assembly from type material	2594179	2594179	Arthrobacter bussei	strain=KR32	na	latest	Contig	Minor	Full	2019-10-28	ASM937719v2		GCF_009377195.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/377/195/GCA_009377195.2_ASM937719v2	./genbank/bacteria/GCA_009377195.2/GCA_009377195.2_ASM937719v2_genomic.fna.gz
