mag_id,substrate,completeness,contamination,domain,phylum,class,order,family,genus,species,study_catalog,group
AlvarezOrdonezA_xxxx__C02-18__bin.2,meat,51.6,3.1,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_glaucus,Carlino2024,Ascomycota
AlvarezOrdonezA_xxxx__C02-19__bin.10,meat,63.9,3.3,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces_tyrocola,Carlino2024,Ascomycota
AlvarezOrdonezA_xxxx__C02-19__bin.6,meat,51.8,0.8,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_nordicum,Carlino2024,Ascomycota
AlvarezOrdonezA_xxxx__C02-19__bin.11,meat,87.9,2.3,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,unknown,Carlino2024,Ascomycota
AlvarezOrdonezA_xxxx__C03-19__bin.12,meat,82,0.2,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Dipodascaceae,Yarrowia,Yarrowia_alimentaria,Carlino2024,Ascomycota
AlvarezOrdonezA_xxxx__C04-18__bin.3,meat,64.8,0.3,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,unknown,Carlino2024,Ascomycota
AlvarezOrdonezA_xxxx__C04-18__bin.8,meat,90.6,0.2,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_sp_SPG_F1,Carlino2024,Ascomycota
AlvarezOrdonezA_xxxx__C04-18__bin.6,meat,86.3,0.5,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces_hansenii_group_1,Carlino2024,Ascomycota
AlvarezOrdonezA_xxxx__C04-18__bin.7,meat,73.2,0.1,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,unknown,unknown,Candida_glucosophila,Carlino2024,Ascomycota
AlvarezOrdonezA_xxxx__C04-19__bin.1,meat,75.2,0.7,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,unknown,Carlino2024,Ascomycota
AlvarezOrdonezA_xxxx__C05-19__bin.5,meat,60,3.7,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_glaucus,Carlino2024,Ascomycota
AlvarezOrdonezA_xxxx__C06-18__bin.23,meat,89.5,4.2,Eukaryota,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Helicostylum,Helicostylum_pulchrum,Carlino2024,Mucoromycota
AlvarezOrdonezA_xxxx__C07-19__bin.6,meat,97.9,0.1,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces_hansenii_group_1,Carlino2024,Ascomycota
AlvarezOrdonezA_xxxx__C08-18__bin.12,meat,51.6,0.4,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Kurtzmaniella,unknown,Carlino2024,Ascomycota
AlvarezOrdonezA_xxxx__C08-18__bin.3,meat,81.1,0.4,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_nordicum,Carlino2024,Ascomycota
AlvarezOrdonezA_xxxx__C08-18__bin.8,meat,65.4,3.5,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces_hansenii_group_1,Carlino2024,Ascomycota
AlvarezOrdonezA_xxxx__F05-18__bin.3,meat,89,0.6,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,unknown,Carlino2024,Ascomycota
AlvarezOrdonezA_xxxx__F05-18__bin.5,meat,85.2,0.5,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_nordicum,Carlino2024,Ascomycota
AlvarezOrdonezA_xxxx__F05-18__bin.2,meat,54.6,3.8,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces_hansenii_group_1,Carlino2024,Ascomycota
AlvarezOrdonezA_xxxx__F05-19__bin.8,meat,87.4,0.6,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,unknown,Carlino2024,Ascomycota
AlvarezOrdonezA_xxxx__F05-19__bin.10,meat,86.8,0.5,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces_hansenii_group_1,Carlino2024,Ascomycota
AlvarezOrdonezA_xxxx__F06-19__bin.9,meat,90.9,0.2,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_camemberti,Carlino2024,Ascomycota
AlvarezOrdonezA_xxxx__F06-19__bin.4,meat,92.5,0.2,Eukaryota,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Mucor,Mucor_racemosus,Carlino2024,Mucoromycota
AlvarezOrdonezA_xxxx__F06-19__bin.5,meat,97.6,0.2,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces_hansenii_group_1,Carlino2024,Ascomycota
AlvarezOrdonezA_xxxx__F07-18__bin.5,meat,97.5,0.3,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces_hansenii_group_1,Carlino2024,Ascomycota
AlvarezOrdonezA_xxxx__F07-19__bin.2,meat,97.4,0.2,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces_hansenii_group_1,Carlino2024,Ascomycota
