ID	Species	GCA
159652	Abditibacterium utsteinense	GCA_002973605
219	Abiotrophia defectiva	GCA_000160075
164352	Absicoccus porci	GCA_003725415
170183	Abyssalbus ytuae	GCA_022807975
159837	Abyssibacter profundi	GCA_003151135
132558	Abyssicoccus albus	GCA_003815035
164056	Abyssisolibacter fermentans	GCA_001559865
132478	Vallitalea guaymasensis	GCA_003313305
24718	Acanthopleuribacter pedis	GCA_017377855
7517	Acaricomes phytoseiuli	GCA_000376245
160325	Acerihabitans arboris	GCA_010131535
169741	Acetatifactor aquisgranensis	GCA_943193215
18089	Acetatifactor muris	GCA_024623325
164491	Acetilactobacillus jinshanensis	GCA_004359375
6338	Acetitomaculum ruminis	GCA_900112085
2838	Clostridium alkalicellulosi	GCA_008125075
17674	Acetivibrio cellulolyticus	GCA_000179595
2853	Acetivibrio clariflavus	GCA_000237085
157972	Acetivibrio mesophilus	GCA_004102745
132679	Acetivibrio saccincola	GCA_002844395
164132	Acetivibrio saccincola	GCA_002969215
2827	Acetivibrio straminisolvens	GCA_000521465
2729	Acetivibrio thermocellus	GCA_000015865
2728	Acetivibrio thermocellus	GCA_000184925
2730	Acetivibrio thermocellus	GCA_001692755
22965	Acetivibrio thermocellus	GCA_000255575
22966	Acetivibrio thermocellus	GCA_000255615
168331	Acetoanaerobium noterae	GCA_900168025
131392	Acetoanaerobium pronyense	GCA_017874355
2717	Acetoanaerobium sticklandii	GCA_000196455
2	Acetobacter aceti	GCA_000193495
135985	Acetobacter aceti	GCA_002723895
162842	Acetobacter aceti	GCA_014218315
163302	Acetobacter pasteurianus	GCA_001766235
12	Acetobacter cerevisiae	GCA_001580535
15	Acetobacter cibinongensis	GCA_000963925
167133	Acetobacter conturbans	GCA_011516755
10	Acetobacter estunensis	GCA_011516945
23	Acetobacter fabarum	GCA_011516925
166754	Acetobacter fallax	GCA_011516735
22	Acetobacter ghanensis	GCA_011516865
18	Acetobacter indonesiensis	GCA_000963945
23489	Acetobacter lambici	GCA_011516885
9	Acetobacter lovaniensis	GCA_011516875
13	Acetobacter malorum	GCA_001580615
20	Acetobacter nitrogenifigens	GCA_000429165
19	Acetobacter oeni	GCA_011516825
163333	Acetobacter okinawensis	GCA_000613865
16	Acetobacter orientalis	GCA_000963965
8	Acetobacter orleanensis	GCA_000964205
163947	Acetobacter oryzifermentans	GCA_001628715
164536	Acetobacter oryzoeni	GCA_004014775
163331	Acetobacter papayae	GCA_000613285
4	Acetobacter pasteurianus	GCA_000285275
5	Acetobacter pasteurianus	GCA_000241625
7	Acetobacter pasteurianus	GCA_003850845
24	Acetobacter pasteurianus	GCA_006539345
135987	Acetobacter pasteurianus	GCA_003850825
135988	Acetobacter pasteurianus	GCA_003850965
162906	Acetobacter pasteurianus	GCA_001581085
170248	Acetobacter pasteurianus	GCA_001766255
163337	Acetobacter persici	GCA_000613905
167334	Acetobacter sacchari	GCA_017377715
21	Acetobacter senegalensis	GCA_001580995
167819	Acetobacter sicerae	GCA_011516765
14	Acetobacter syzygii	GCA_000964225
17	Acetobacter tropicalis	GCA_000787635
5409	Acetobacterium bakii	GCA_001263355
5410	Acetobacterium dehalogenans	GCA_000472665
5407	Acetobacterium paludosum	GCA_008086595
5401	Acetobacterium wieringae	GCA_001766835
5402	Acetobacterium woodii	GCA_000247605
131580	Acetobacteroides hydrogenigenes	GCA_004340205
5978	Acetohalobium arabaticum	GCA_000144695
17777	Acetomicrobium mobile	GCA_000266925
17778	Acetomicrobium thermoterrenum	GCA_900107215
17111	Acetonema longum	GCA_000219125
168738	Acholeplasma axanthum	GCA_000428705
167728	Acholeplasma equifetale	GCA_000687735
159212	Acholeplasma equirhinis	GCA_017052655
168827	Acholeplasma granularum	GCA_000526235
167814	Acholeplasma hippikon	GCA_000702765
97	Acholeplasma laidlawii	GCA_003385765
168793	Acholeplasma modicum	GCA_000687835
167571	Acholeplasma morum	GCA_016907055
169011	Acholeplasma multilocale	GCA_000483165
167615	Acholeplasma oculi	GCA_900166985
156528	Achromobacter aegrifaciens	GCA_902859735
156530	Achromobacter aegrifaciens	GCA_902859965
140509	Achromobacter agilis	GCA_900496965
133323	Achromobacter aloeverae	GCA_004121055
130142	Achromobacter animicus	GCA_902859585
156477	Achromobacter animicus	GCA_902860025
156478	Achromobacter animicus	GCA_902860125
156534	Achromobacter anxifer	GCA_903652925
156535	Achromobacter anxifer	GCA_902860145
140506	Achromobacter deleyi	GCA_902859705
318	Achromobacter denitrificans	GCA_001571365
136807	Achromobacter denitrificans	GCA_902859985
141589	Achromobacter denitrificans	GCA_902860095
134918	Achromobacter dolens	GCA_902859745
156522	Achromobacter dolens	GCA_902860115
156523	Achromobacter dolens	GCA_902859975
322	Achromobacter insolitus	GCA_001971645
152561	Achromobacter insolitus	GCA_902860175
152562	Achromobacter insolitus	GCA_902860165
152564	Achromobacter insolitus	GCA_902860205
136698	Achromobacter insuavis	GCA_902859645
156525	Achromobacter insuavis	GCA_902860075
140507	Achromobacter kerstersii	GCA_902859595
140854	Achromobacter marplatensis	GCA_003315095
130143	Achromobacter mucicolens	GCA_902859725
136829	Achromobacter mucicolens	GCA_902859995
156473	Achromobacter mucicolens	GCA_902860005
156474	Achromobacter mucicolens	GCA_902860105
140508	Achromobacter pestifer	GCA_902859625
320	Achromobacter piechaudii	GCA_001571245
156467	Achromobacter piechaudii	GCA_902860185
162986	Achromobacter piechaudii	GCA_902860155
130144	Achromobacter pulmonis	GCA_902859765
156481	Achromobacter pulmonis	GCA_902860065
309	Achromobacter ruhlandii	GCA_902859695
156468	Achromobacter ruhlandii	GCA_902860035
156469	Achromobacter ruhlandii	GCA_902860085
162299	Achromobacter sp.	GCA_001312205
164058	Achromobacter sp.	GCA_001975485
323	Achromobacter spanius	GCA_002812705
168915	Achromobacter veterisilvae	GCA_900496975
136825	Achromobacter xylosoxidans	GCA_900475575
166058	Achromobacter xylosoxidans	GCA_001312125
297	Achromobacter xylosoxidans	GCA_000508285
17960	Acidaminobacter hydrogenoformans	GCA_900103005
98	Acidaminococcus fermentans	GCA_000025305
158826	Acidaminococcus fermentans	GCA_009696675
99	Acidaminococcus intestini	GCA_000425045
16643	Acidianus ambivalens	GCA_009428885
16640	Acidianus brierleyi	GCA_003201835
16642	Acidianus infernus	GCA_009729545
131324	Acidianus sp.	GCA_013133895
16644	Acidianus sulfidivorans	GCA_003201765
164161	Ferroacidibacillus organovorans	GCA_001602485
164162	Sulfoacidibacillus thermotolerans	GCA_003144315
166226	Acidibrevibacterium fodinaquatile	GCA_003352165
133383	Acidicapsa acidisoli	GCA_025685625
159709	Acidicapsa dinghuensis	GCA_025685685
143	Acidicapsa ligni	GCA_025685655
169365	Acididesulfobacillus acetoxydans	GCA_900016645
159903	Acidiferrimicrobium australe	GCA_009697115
158294	Acidiferrobacter sp.	GCA_003184265
4303	Acidiferrobacter thiooxydans	GCA_003333315
6149	Acidihalobacter aeolianus	GCA_001753165
24820	Acidihalobacter ferrooxydans	GCA_001975725
6148	Acidihalobacter prosperus	GCA_000754095
160601	Acidihalobacter yilgarnensis	GCA_001753245
17800	Acidilobus saccharovorans	GCA_000144915
164656	Acidiluteibacter ferrifornacis	GCA_009909615
166169	Acidimangrovimonas sediminis	GCA_002871005
106	Acidimicrobium ferrooxidans	GCA_000023265
168531	Acidiphilium angustum	GCA_000701585
