MAG_id,Food fermentation,Species_id,Genome size (bp),Completeness (%),Contamination (%),Quality assessment,Domain,Phylum,Class,Order,Family,Genus,Species
MAG_1,Kombucha,Species_79,8680901,94.21 ,0.63 ,High,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Variovorax,s__Variovorax sp900115375
MAG_2,Wine,Species_81,7983613,95.74 ,2.78 ,High,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__Bradyrhizobium,s__Bradyrhizobium sp002831585
MAG_3,Bean paste,Species_159,2584791,72.08 ,0.38 ,Medium,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Micrococcaceae,g__Glutamicibacter,s__unknown151
MAG_4,Coffee ,Species_73,1531659,61.11 ,1.47 ,Medium,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae,g__Acetobacter,s__Acetobacter orientalis
MAG_5,Nunu,Species_165,3622318,83.33 ,1.99 ,Medium,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Klebsiella,s__Klebsiella pneumoniae
MAG_6,Nunu,Species_167,3778646,71.87 ,2.06 ,Medium,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Klebsiella,s__Klebsiella quasipneumoniae
MAG_7,Cheese ,Species_197,3212418,97.68 ,1.74 ,High,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Psychrobacter,s__unknown100
MAG_8,Bean paste,Species_182,3822185,100.00 ,0.00 ,High,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Proteus,s__Proteus cibarius
MAG_9,Bean paste,Species_2,2575931,50.27 ,9.34 ,Medium,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Brochotrichaceae,g__unknown4,s__unknown153
MAG_10,Nunu,Species_164,4815789,51.72 ,1.72 ,Medium,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Escherichia,s__Escherichia flexneri
MAG_11,Bean paste,Species_13,1533426,50.77 ,7.76 ,Medium,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Brochotrichaceae,g__Brochothrix,s__unknown157
MAG_12,Chinese liquor,Species_57,2868851,75.44 ,0.86 ,Medium,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__Bacillus licheniformis
MAG_13,Cheese ,Species_176,3588902,60.74 ,8.69 ,Medium,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Serratia,s__Serratia proteamaculans_B
MAG_14,Cheese ,Species_272,1631670,67.97 ,1.25 ,Medium,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Lactococcus,s__Lactococcus raffinolactis_A
MAG_15,Milk kefir,Species_78,2632650,100.00 ,0.25 ,High,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae,g__Acetobacter,s__Acetobacter fabarum
MAG_16,Kimchi,Species_87,3846744,99.25 ,0.85 ,High,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__Sphingomonas hengshuiensis_A
MAG_17,Soy sauce,Species_248,2929155,98.82 ,1.58 ,High,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Alteromonadaceae,g__Idiomarina,s__unknown15
MAG_18,Koumiss,Species_196,1553832,51.71 ,0.65 ,Medium,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Moraxella_A,s__unknown30
MAG_19,Nunu,Species_165,5243648,98.94 ,0.47 ,High,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Klebsiella,s__Klebsiella pneumoniae
MAG_20,Cheese ,Species_147,6284991,93.48 ,0.98 ,High,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__unknown82
MAG_21,Coffee ,Species_277,1803660,76.94 ,6.25 ,Medium,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Lactococcus,s__Lactococcus lactis
