genome,domain,phylum,class,order,family,genus,species,source,assembly,accession,description,substrate,country,origin,assign,database,completeness,contamination
GCA_001704415.2_ARS1.2_genomic,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Capra hircus,NCBI,GenBank,GCA_001704415.2,Goat,Goat,United States of America,Virginia State University,substrate,MiFoDB_beta_v1_sub,NA,NA
GCA_002263795.3_ARS-UCD1.3_genomic,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos taurus,NCBI,GenBank,GCA_002263795.3,Cow,Cow,United States of America,"Nebraska, United States of America",substrate,MiFoDB_beta_v1_sub,NA,NA
GCF_000003745.3_12X_genomic,Eukaryota,Streptophyta,Magnoliopsida,Vitales,Vitaceae,Vitis,Vitis vinifera,NCBI,GenBank,GCA_000003745.2,Grapes,Grapes,NA,Europe,substrate,MiFoDB_beta_v1_sub,NA,NA
GCF_000004515.6_Glycine_max_v4.0_genomic,Eukaryota,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Glycine,Glycine max,NCBI,GenBank,GCA_000004515.5,Soy,Soy,United States of America,United States of America,substrate,MiFoDB_beta_v1_sub,NA,NA
GCF_000695525.1_BOL_genomic,Eukaryota,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassica,Brassica oleracea,NCBI,GenBank,GCA_000695525.1,Cabbage,Cabbage,Canada,Canada,substrate,MiFoDB_beta_v1_sub,NA,NA
GCF_001433935.1_IRGSP-1.0_genomic,Eukaryota,Streptophyta,Magnoliopsida,Poales,Poaceae,Oryza,Oryza sativa,NCBI,GenBank,GCA_001433935.1,Rice,Rice,Japan,Japan,substrate,MiFoDB_beta_v1_sub,NA,NA
GCF_018294505.1_IWGSC_CS_RefSeq_v2.1_genomic,Eukaryota,Streptophyta,Magnoliopsida,Poales,Poaceae,Triticum,Triticum aestivum,NCBI,GenBank,GCA_018294505.1,Wheat,Wheat,United States of America,"California, United States of America",substrate,MiFoDB_beta_v1_sub,NA,NA
C-R03.bin.3,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida,Scheffersomyces stipitis,This paper,MAG,NA,raw canastra cheese,dairy,Brazil,"Minas Gerais, Brazil",eukaryote,MiFoDB_beta_v3_euk,95.24,0.21
EBC_024.4,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Kluyveromyces,Kluyveromyces marxianus,This paper,MAG,NA,Goat Kefir 60h,dairy,United States of America,"California, United States of America",eukaryote,MiFoDB_beta_v3_euk,93.58,0.21
EBC_092.62,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Kazachstania,Kazachstania saulgeensis 1,This paper,MAG,NA,Radish kraut,vegetable,United States of America,"Tennessee, United States of America",eukaryote,MiFoDB_beta_v3_euk,96.48,63.35
EBC_100.2,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Kazachstania,Kazachstania saulgeensis 2,This paper,MAG,NA,"Volcano Kimchi Gochujang, no sugar, 1.5 year",vegetable,United States of America,"California, United States of America",eukaryote,MiFoDB_beta_v3_euk,99.79,0.41
