mag_id	sample_description	fermented_food	specific_substrate	substrate_category	general_category	completeness	contamination	contigs	total_length	gc	n50	domain	phylum	class	order	family	genus	species	phylo_group	study_catalog	source
LeechJ_xxxx__AF82__bin.10	attieke	attieke	cassava	tuber_root	fermented_cassava	69.4	0.1	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia	unknown	Ascomycota	Carlino2024	LeechJ_xxxx__AF82
LeechJ_xxxx__AF25__bin.11	kantong	kantong	cassava_kapok_seeds	tuber_root	fermented_cassava	75.4	0.9	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Trichomonascaceae	Wickerhamiella	Wickerhamiella_versatilis	Ascomycota	Carlino2024	LeechJ_xxxx__AF25
LeechJ_xxxx__AF25__bin.17	kantong	kantong	cassava_kapok_seeds	tuber_root	fermented_cassava	95.9	0	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	unknown	unknown	Ascomycota	Carlino2024	LeechJ_xxxx__AF25
LeechJ_xxxx__AF81__bin.2	mou	mou	cassava	tuber_root	fermented_cassava	69.2	0.3	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Clavispora	Clavispora_lusitaniae	Ascomycota	Carlino2024	LeechJ_xxxx__AF81
LeechJ_xxxx__AF81__bin.5	mou	mou	cassava	tuber_root	fermented_cassava	58.7	0.7	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kluyveromyces	Kluyveromyces_marxianus	Ascomycota	Carlino2024	LeechJ_xxxx__AF81
LeechJ_xxxx__AF81__bin.8	mou	mou	cassava	tuber_root	fermented_cassava	91.6	0.2	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia	Pichia_kudriavzevii	Ascomycota	Carlino2024	LeechJ_xxxx__AF81
XieM_2019__SAMC044639__bin.29	soybean	dajiang-meju	soybean	legumes	fermented_soybean	91.4	0.3	NA	NA	NA	NA	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_polonicum	Ascomycota	Carlino2024	XieM_2019__SAMC044639
EBC_100.2	volcano kimchi gochujang, no sugar, 1.5 year	gochujang	soybean	vegetable	fermented_soybean	99.79	0.41	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kazachstania	Kazachstania saulgeensis 2	Ascomycota	Caffrey2024	This paper
GCA_008274985.1_ASM827498v1_genomic	meju	meju	soybean	legume	fermented_soybean	100	0	NA	NA	NA	NA	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus sojae	Ascomycota	Caffrey2024	NCBI
SulaimanJ_2014__SRS398265__bin.6	soybean	soy_sauce	soybean	legumes	fermented_soybean	82	0.9	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Trichomonascaceae	Wickerhamiella	Wickerhamiella_versatilis	Ascomycota	Carlino2024	SulaimanJ_2014__SRS398265
SulaimanJ_2014__SRS398266__bin.2	soybean	soy_sauce	soybean	legumes	fermented_soybean	83.5	1	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Trichomonascaceae	Wickerhamiella	Wickerhamiella_versatilis	Ascomycota	Carlino2024	SulaimanJ_2014__SRS398266
SulaimanJ_2014__SRS398267__bin.6	soybean	soy_sauce	soybean	legumes	fermented_soybean	83.5	1	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Trichomonascaceae	Wickerhamiella	Wickerhamiella_versatilis	Ascomycota	Carlino2024	SulaimanJ_2014__SRS398267
SulaimanJ_2014__SRS398268__bin.2	soybean	soy_sauce	soybean	legumes	fermented_soybean	83.4	1	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Trichomonascaceae	Wickerhamiella	Wickerhamiella_versatilis	Ascomycota	Carlino2024	SulaimanJ_2014__SRS398268
SulaimanJ_2014__SRS398269__bin.4	soybean	soy_sauce	soybean	legumes	fermented_soybean	83.6	1	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Trichomonascaceae	Wickerhamiella	Wickerhamiella_versatilis	Ascomycota	Carlino2024	SulaimanJ_2014__SRS398269
DeRoosJ_2020__B13M__bin.2	beer	beer	barley	grain	fermented_beverages	65.9	0.2	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Brettanomyces	Brettanomyces_bruxellensis	Ascomycota	Carlino2024	DeRoosJ_2020__B13M
DeRoosJ_2020__B24M__bin.2	beer	beer	barley	grain	fermented_beverages	91.1	0.1	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Brettanomyces	Brettanomyces_custersianus	Ascomycota	Carlino2024	DeRoosJ_2020__B24M
DeRoosJ_2020__B3D__bin.2	beer	beer	barley	grain	fermented_beverages	85.5	1.3	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	Ascomycota	Carlino2024	DeRoosJ_2020__B3D
DeRoosJ_2020__B3W__bin.1	beer	beer	barley	grain	fermented_beverages	78.5	1.5	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	Ascomycota	Carlino2024	DeRoosJ_2020__B3W
HeilCS_2018__Old_Warehouse_metagenome__bin.2	beer	beer	barley	grain	fermented_beverages	84.8	0.5	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia	Pichia_kudriavzevii	Ascomycota	Carlino2024	HeilCS_2018__Old_Warehouse_metagenome
HeilCS_2018__Old_Warehouse_metagenome__bin.6	beer	beer	barley	grain	fermented_beverages	99	3.3	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	Ascomycota	Carlino2024	HeilCS_2018__Old_Warehouse_metagenome
ODFM-BA-A-0118-001_Brettanomyces_anomalus_YV396	beer	beer	barley	grains	fermented_beverages	99.17	0	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Brettanomyces	Brettanomyces anomalus YV396	Ascomycota	Caffrey2024	Whon et al. 2021
ODFM-BA-A-0193-001_Saccharomyces_cerevisiae_beer44	beer	beer	barley	grains	fermented_beverages	100	0.21	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces cerevisiae	Ascomycota	Caffrey2024	Whon et al. 2021
LeechJ_2020__ERS3967692__bin.6	boza	boza	millet	grains	fermented_beverages	52.9	0.9	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kazachstania	Kazachstania_saulgeensis	Ascomycota	Carlino2024	LeechJ_2020__ERS3967692
LeechJ_xxxx__AF31__bin.1	burukutu	burukutu	sorghum_millet	grain	fermented_beverages	61.3	0	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Lachancea	Lachancea_fermentati	Ascomycota	Carlino2024	LeechJ_xxxx__AF31
LeechJ_xxxx__AF31__bin.2	burukutu	burukutu	sorghum_millet	grain	fermented_beverages	89.3	2.1	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	Ascomycota	Carlino2024	LeechJ_xxxx__AF31
LeechJ_xxxx__AF40__bin.1	burukutu	burukutu	sorghum_millet	grain	fermented_beverages	97.4	2	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	Ascomycota	Carlino2024	LeechJ_xxxx__AF40
LeechJ_xxxx__AF67__bin.3	burukutu	burukutu	sorghum_millet	grain	fermented_beverages	97.7	2.1	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	Ascomycota	Carlino2024	LeechJ_xxxx__AF67
LeechJ_xxxx__AF67__bin.4	burukutu	burukutu	sorghum_millet	grain	fermented_beverages	62.7	1	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kazachstania	Kazachstania_bovina	Ascomycota	Carlino2024	LeechJ_xxxx__AF67
GCA_001747045.1_ASM174704v1_genomic	chardonnay must	chardonnay_must	grape	fruit	fermented_beverages	94.41	0	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycodaceae	Hanseniaspora	Hanseniaspora osmophila	Ascomycota	Caffrey2024	NCBI
DuR_2020__DRS139333__bin.13	chinese liquor	chinese_liquor	grain	grain	fermented_beverages	71	0.6	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Wickerhamomyces	Wickerhamomyces_anomalus	Ascomycota	Carlino2024	DuR_2020__DRS139333
DuR_2020__DRS139333__bin.16	chinese liquor	chinese_liquor	grain	grain	fermented_beverages	84.8	0.4	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia	Pichia_kudriavzevii	Ascomycota	Carlino2024	DuR_2020__DRS139333
DuR_2020__DRS139334__bin.15	chinese liquor	chinese_liquor	grain	grain	fermented_beverages	85.4	0.2	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia	Pichia_kudriavzevii	Ascomycota	Carlino2024	DuR_2020__DRS139334
DuR_2020__DRS139334__bin.19	chinese liquor	chinese_liquor	grain	grain	fermented_beverages	76.7	0	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia	Pichia_kluyveri	Ascomycota	Carlino2024	DuR_2020__DRS139334
DuR_2020__DRS139334__bin.3	chinese liquor	chinese_liquor	grain	grain	fermented_beverages	95	1.7	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	Ascomycota	Carlino2024	DuR_2020__DRS139334
DuR_2020__DRS139335__bin.10	chinese liquor	chinese_liquor	grain	grain	fermented_beverages	81.4	0.2	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia	Pichia_kudriavzevii	Ascomycota	Carlino2024	DuR_2020__DRS139335
DuR_2020__DRS139335__bin.17	chinese liquor	chinese_liquor	grain	grain	fermented_beverages	94.6	2.1	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	Ascomycota	Carlino2024	DuR_2020__DRS139335
DuR_2020__DRS139335__bin.20	chinese liquor	chinese_liquor	grain	grain	fermented_beverages	75.9	0.5	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia	Pichia_kluyveri	Ascomycota	Carlino2024	DuR_2020__DRS139335
DuR_2020__DRS139335__bin.25	chinese liquor	chinese_liquor	grain	grain	fermented_beverages	65	0	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Cyberlindnera	Cyberlindnera_fabianii	Ascomycota	Carlino2024	DuR_2020__DRS139335
DuR_2020__DRS139335__bin.6	chinese liquor	chinese_liquor	grain	grain	fermented_beverages	70.7	0.1	NA	NA	NA	NA	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_tubingensis	Ascomycota	Carlino2024	DuR_2020__DRS139335
PothakosV_2020__ERS2068299__bin.22	coffee	coffee	coffee_berries	fruit	fermented_beverages	59.6	0.5	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	unknown	Starmerella	Starmerella_bacillaris	Ascomycota	Carlino2024	PothakosV_2020__ERS2068299
LeechJ_xxxx__AF77__bin.1	dolo	dolo	sorghum	grain	fermented_beverages	92.1	1.8	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	Ascomycota	Carlino2024	LeechJ_xxxx__AF77
LeechJ_xxxx__AF39__bin.4	emu	emu	palm_sap	other_plant_based	fermented_beverages	94.8	2.2	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	Ascomycota	Carlino2024	LeechJ_xxxx__AF39
LeechJ_xxxx__AF55__bin.7	palm_wine	palm_wine	palm_sap	other_plant_based	fermented_beverages	95.8	1.9	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	Ascomycota	Carlino2024	LeechJ_xxxx__AF55
LeechJ_xxxx__AF17__bin.1	pito	pito	millet	grain	fermented_beverages	98.9	0	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Clavispora	Clavispora_lusitaniae	Ascomycota	Carlino2024	LeechJ_xxxx__AF17
LeechJ_xxxx__AF17__bin.2	pito	pito	millet	grain	fermented_beverages	88.7	0.1	NA	NA	NA	NA	Eukaryota	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Coniochaeta	unknown	Ascomycota	Carlino2024	LeechJ_xxxx__AF17
