mag_id	original_substrate	substrate_category	specific_substrate	source	completeness	contamination	domain	phylum	class	order	family	genus	species	study_catalog	group
MAG_1	kombucha	fermented_beverages	kombucha	NA	94.21	0.63	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Variovorax	Variovorax sp900115375	Du2023	Proteobacteria
MAG_2	wine	fermented_beverages	wine	NA	95.74	2.78	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	Bradyrhizobium sp002831585	Du2023	Proteobacteria
MAG_3	bean paste	bean paste	bean paste	NA	72.08	0.38	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Micrococcaceae	Glutamicibacter	unknown151	Du2023	Actinobacteria
MAG_4	coffee 	coffee 	coffee	NA	61.11	1.47	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter orientalis	Du2023	Proteobacteria
MAG_5	nunu	dairy	nunu	NA	83.33	1.99	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	Du2023	Proteobacteria
MAG_6	nunu	dairy	nunu	NA	71.87	2.06	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella quasipneumoniae	Du2023	Proteobacteria
MAG_7	cheese 	dairy	cheese	NA	97.68	1.74	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	unknown100	Du2023	Proteobacteria
MAG_8	bean paste	bean paste	bean paste	NA	100	0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Proteus	Proteus cibarius	Du2023	Proteobacteria
MAG_9	bean paste	bean paste	bean paste	NA	50.27	9.34	Bacteria	Firmicutes	Bacilli	Lactobacillales	Brochotrichaceae	unknown4	unknown153	Du2023	Firmicutes
MAG_10	nunu	dairy	nunu	NA	51.72	1.72	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia flexneri	Du2023	Proteobacteria
MAG_11	bean paste	bean paste	bean paste	NA	50.77	7.76	Bacteria	Firmicutes	Bacilli	Lactobacillales	Brochotrichaceae	Brochothrix	unknown157	Du2023	Firmicutes
MAG_12	chinese liquor	fermented_beverages	chinese liquor	NA	75.44	0.86	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus licheniformis	Du2023	Firmicutes
MAG_13	cheese 	dairy	cheese	NA	60.74	8.69	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Serratia	Serratia proteamaculans_B	Du2023	Proteobacteria
MAG_14	cheese 	dairy	cheese	NA	67.97	1.25	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus raffinolactis_A	Du2023	Firmicutes
MAG_15	milk kefir	milk kefir	kefir	NA	100	0.25	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter fabarum	Du2023	Proteobacteria
MAG_16	kimchi	fruits_and_vegetables	kimchi	NA	99.25	0.85	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas hengshuiensis_A	Du2023	Proteobacteria
MAG_17	soy sauce	soy	soy sauce	NA	98.82	1.58	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Idiomarina	unknown15	Du2023	Proteobacteria
MAG_18	koumiss	dairy	koumiss	NA	51.71	0.65	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella_A	unknown30	Du2023	Proteobacteria
MAG_19	nunu	dairy	nunu	NA	98.94	0.47	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	Du2023	Proteobacteria
MAG_20	cheese 	dairy	cheese	NA	93.48	0.98	Bacteria	Actinobacteriota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	unknown82	Du2023	Actinobacteria
MAG_21	coffee 	coffee 	coffee	NA	76.94	6.25	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis	Du2023	Firmicutes
MAG_22	milk kefir	milk kefir	kefir	NA	98.79	0.66	Bacteria	Actinobacteriota	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Propionibacterium	Propionibacterium freudenreichii	Du2023	Actinobacteria
MAG_23	cheese 	dairy	cheese	NA	78.03	7.97	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Microbacteriaceae	Microbacterium	Microbacterium gubbeenense	Du2023	Actinobacteria
MAG_24	coffee 	coffee 	coffee	NA	50.34	1.72	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Loigolactobacillus	Loigolactobacillus bifermentans	Du2023	Firmicutes
MAG_25	coffee 	coffee 	coffee	NA	80.27	2.09	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis	Du2023	Firmicutes
MAG_26	chinese liquor	fermented_beverages	chinese liquor	NA	98.09	1.79	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc citreum	Du2023	Firmicutes
MAG_27	nunu	dairy	nunu	NA	99.62	0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_B	Enterococcus_B faecium_B	Du2023	Firmicutes
MAG_28	milk kefir	milk kefir	kefir	NA	99.06	0.16	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus brevis	Du2023	Firmicutes
MAG_29	cheese 	dairy	cheese	NA	75.1	0.58	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Brevibacteriaceae	Brevibacterium	Brevibacterium yomogidense	Du2023	Actinobacteria
MAG_30	chinese liquor	fermented_beverages	chinese liquor	NA	54.4	5.5	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus paralicheniformis	Du2023	Firmicutes
MAG_31	kombucha	fermented_beverages	kombucha	NA	95.92	3.04	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Methyloversatilis	Methyloversatilis discipulorum_A	Du2023	Proteobacteria
MAG_32	cheese 	dairy	cheese	NA	97.21	1.57	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc carnosum	Du2023	Firmicutes
MAG_33	soy sauce	soy	soy sauce	NA	99	3	Bacteria	Firmicutes	Bacilli	Bacillales	Amphibacillaceae	Virgibacillus	Virgibacillus dokdonensis	Du2023	Firmicutes
MAG_34	wine	fermented_beverages	wine	NA	99.27	0.2	Bacteria	Actinobacteriota	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes	Du2023	Actinobacteria
MAG_35	soy sauce	soy	soy sauce	NA	99.57	0	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Halomonadaceae	Halomonas	unknown20	Du2023	Proteobacteria
