mag_id,substrate,completeness,contamination,contigs,total_length,gc,n50,domain,phylum,class,order,family,genus,species,group,study_catalog
MAG_1,fermented_beverages,94.21,0.63,506,8680901,69.63,23840,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Variovorax,Variovorax sp900115375,Proteobacteria,Du2023
MAG_2,fermented_beverages,95.74,2.78,579,7983613,64.46,20454,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Bradyrhizobium sp002831585,Proteobacteria,Du2023
MAG_7,dairy,97.68,1.74,416,3212418,41.93,10709,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,unknown100,Proteobacteria,Du2023
MAG_8,bean paste,100,0,19,3822185,37.82,389948,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Proteus,Proteus cibarius,Proteobacteria,Du2023
MAG_15,dairy,100,0.25,21,2632650,58.24,226951,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter fabarum,Proteobacteria,Du2023
MAG_16,fruits_and_vegetables,99.25,0.85,70,3846744,67.31,109646,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas hengshuiensis_A,Proteobacteria,Du2023
MAG_17,soy,98.82,1.58,162,2929155,46.8,30609,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Idiomarina,unknown15,Proteobacteria,Du2023
MAG_19,dairy,98.94,0.47,86,5243648,57.65,112383,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,Proteobacteria,Du2023
MAG_20,dairy,93.48,0.98,398,6284991,68.01,24616,Bacteria,Actinobacteriota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,unknown82,Actinobacteria,Du2023
MAG_22,dairy,98.79,0.66,91,2691977,67.14,49940,Bacteria,Actinobacteriota,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Propionibacterium,Propionibacterium freudenreichii,Actinobacteria,Du2023
MAG_26,fermented_beverages,98.09,1.79,95,1674162,39.13,30047,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc citreum,Firmicutes,Du2023
MAG_27,dairy,99.62,0,70,2661231,38.18,74983,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus_B,Enterococcus_B faecium_B,Firmicutes,Du2023
MAG_28,dairy,99.06,0.16,48,2275289,46.29,98801,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,Firmicutes,Du2023
MAG_31,fermented_beverages,95.92,3.04,160,3806945,66.7,41864,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Methyloversatilis,Methyloversatilis discipulorum_A,Proteobacteria,Du2023
MAG_32,dairy,97.21,1.57,39,1659594,36.98,86166,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc carnosum,Firmicutes,Du2023
MAG_33,soy,99,3,188,4257025,36.28,34299,Bacteria,Firmicutes,Bacilli,Bacillales,Amphibacillaceae,Virgibacillus,Virgibacillus dokdonensis,Firmicutes,Du2023
MAG_34,fermented_beverages,99.27,0.2,78,2482570,60.06,72650,Bacteria,Actinobacteriota,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Cutibacterium acnes,Actinobacteria,Du2023
MAG_35,soy,99.57,0,38,2704170,60.27,109050,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Halomonas,unknown20,Proteobacteria,Du2023
MAG_37,fermented_beverages,96.3,0,142,2951098,60.56,31831,Bacteria,Armatimonadota,Fimbriimonadia,OS-L,GBS-DC,GBS-DC,GBS-DC sp001442985,Armatimonadetes,Du2023
